genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
edm,Electro House 2020,Naeleck,"Disease - KATFYR ""Tokyo Bound"" Remix",43,0.677,0.926,0,-3.307,1,0.0456,0.00298,0.507,0.337,0.108,128.014,288867
edm,Electro House 2020,Le Castle Vania,Infinite Ammo,46,0.597,0.96,7,-1.94,0,0.0627,9.38e-05,0.89,0.325,0.144,127.016,232637
edm,Electro House 2020,Tiësto,WOW,10,0.601,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.958,148125
edm,Electro House 2020,Naeleck,Threnody - Bombs Away Remix,50,0.836,0.926,2,-3.728,1,0.0495,0.000389,0.32,0.203,0.148,127.977,247309
edm,Electro House 2020,Fukkk Offf,Loudness War,33,0.843,0.844,2,-4.779,1,0.0749,0.000609,0.166,0.0458,0.727,127.98,285000
edm,Electro House 2020,Wolfgang Gartner,Deja Vu,36,0.662,0.665,3,-5.689,0,0.18,0.000519,0.0515,0.118,0.332,127.936,210234
edm,Electro House 2020,3LAU,Game Time (feat. Ninja),51,0.534,0.957,1,-4.025,1,0.0455,8.05e-05,0.758,0.266,0.52,95.046,156632
edm,Electro House 2020,SOVTH,Rave,25,0.786,0.955,5,-6.369,0,0.0606,0.000906,0.849,0.396,0.745,125.996,200015
edm,Electro House 2020,Bassjackers,Outlaw,38,0.674,0.881,1,-4.15,0,0.0573,0.00792,0.576,0.127,0.0475,104.962,184716
edm,Electro House 2020,RICCI,Bang,59,0.876,0.824,1,-6.292,1,0.101,0.11,0.739,0.0828,0.725,123.007,176000
edm,Electro House 2020,Awnix & Toobaï,My Shit Bang,30,0.941,0.944,6,-4.094,1,0.235,0.00419,0.0215,0.0896,0.573,124.042,196089
edm,Electro House 2020,Breathe Carolina,Get Away (feat. Rama Duke),53,0.516,0.958,0,-1.802,0,0.0698,0.00323,8.65e-05,0.315,0.538,126.039,126190
edm,Electro House 2020,Naeleck,Virtual Gaming,37,0.658,0.97,9,-1.262,1,0.0527,0.000374,0.56,0.0884,0.192,128.039,228750
edm,Electro House 2020,Chris Burke,2020 - Radio Edit,30,0.569,0.974,5,-4.825,0,0.0435,0.00575,0.962,0.232,0.0683,130.039,144082
edm,Electro House 2020,Divite,I Want to Know,42,0.558,0.755,10,-4.509,1,0.0509,0.0755,0.00432,0.189,0.287,127.939,206250
edm,Electro House 2020,Jacob Tillberg,Flowers - RudeLies Remix,52,0.655,0.899,11,-2.314,0,0.0372,0.00273,3.76e-05,0.34,0.707,126.021,175238
edm,Electro House 2020,Kevlah,Special,38,0.595,0.502,10,-13.756,1,0.131,0.347,0.0,0.121,0.288,154.926,191000
edm,Electro House 2020,GLDN,What to Do,53,0.705,0.632,5,-3.561,1,0.0375,0.197,4.64e-06,0.158,0.502,99.957,167144
edm,Electro House 2020,Wolvero,Dancing,32,0.765,0.782,5,-4.852,0,0.116,0.0125,0.857,0.0737,0.733,125.032,251860
edm,Electro House 2020,Bombs Away,Damn Daniel - Radio Mix,39,0.71,0.964,1,-1.257,0,0.0502,0.0314,0.0145,0.294,0.72,128.068,163000
edm,Electro House 2020,F.O.O.L,Carry On,36,0.74,0.641,5,-4.199,0,0.0336,0.0117,0.405,0.358,0.601,128.026,277510
edm,Electro House 2020,Friz,425,28,0.852,0.463,7,-8.399,1,0.0694,0.00388,0.764,0.133,0.479,126.992,247280
edm,Electro House 2020,Martin Garrix,Ocean (feat. Khalid) - David Guetta Remix,64,0.609,0.824,0,-8.251,0,0.0795,0.0913,2.88e-05,0.134,0.36,127.072,195833
edm,Electro House 2020,Avenza,Young Ones - RudeLies Remix,52,0.661,0.943,4,-2.52,0,0.0392,0.0188,0.000231,0.272,0.71,128.16,198281
edm,Electro House 2020,Brooks,Waiting For Love,60,0.57,0.836,10,-4.414,0,0.0706,0.00334,0.000469,0.0909,0.712,127.917,157500
edm,Electro House 2020,Calvin Harris,Promises - David Guetta Remix,8,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417
