genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
latin,Tropical House,Sam Feldt,Silverskin,8,0.749,0.52,10,-8.604,1,0.0456,0.224,0.000503,0.0982,0.759,96.023,151219
latin,Tropical House,Lost Frequencies,Recognise,60,0.717,0.741,10,-6.645,0,0.053,0.155,0.0,0.133,0.188,105.997,186062
latin,Tropical House,CAZZETTE,Handful Of Gold - Hounded Remix,50,0.735,0.585,1,-9.673,1,0.0475,0.12,7.65e-05,0.073,0.13,120.008,250000
latin,Tropical House,Klingande,Messiah,44,0.61,0.748,10,-6.856,0,0.0475,0.0736,0.0,0.112,0.624,100.007,184200
latin,Tropical House,Felix Jaehn,Never Alone,67,0.675,0.827,8,-4.793,0,0.038,0.0559,2.46e-06,0.126,0.446,125.988,176594
latin,Tropical House,Y.V.E. 48,Better Off Alone,56,0.721,0.508,1,-9.208,0,0.0809,0.0571,0.0116,0.109,0.181,111.955,173500
latin,Tropical House,Lost Frequencies,All or Nothing - Sultan + Shepard Remix,28,0.733,0.864,7,-2.003,1,0.0385,0.382,0.117,0.266,0.387,125.895,215357
latin,Tropical House,Alex Schulz,Are You Mine,54,0.613,0.694,2,-5.462,1,0.0314,0.104,2.7e-06,0.0571,0.589,125.989,209477
latin,Tropical House,Davai,Tear Me Down (feat. Philip Rustad),57,0.72,0.817,11,-4.344,1,0.109,0.263,0.0,0.103,0.703,100.02,184500
latin,Tropical House,Henry Green,Electric Feel (Kygo Remix),57,0.709,0.369,4,-13.104,0,0.0488,0.238,0.168,0.0704,0.373,102.01,390649
latin,Tropical House,Sam Feldt,Déjà Vu,7,0.748,0.475,0,-11.256,1,0.0279,0.13,6.09e-05,0.0755,0.408,119.994,176910
latin,Tropical House,Lost Frequencies,Beat Of My Heart,67,0.706,0.524,6,-8.804,1,0.026,0.127,0.00129,0.109,0.296,111.991,183183
latin,Tropical House,Little Giants,We Start Fires,47,0.676,0.903,9,-5.856,1,0.0534,0.0333,1.58e-06,0.281,0.349,119.98,228000
latin,Tropical House,LVNDSCAPE,What I'd Give,57,0.745,0.669,9,-5.204,1,0.0316,0.00761,0.0,0.118,0.513,107.02,191321
latin,Tropical House,Dasco,Whatever You Like - Radio Edit,50,0.674,0.805,2,-4.867,1,0.0401,0.0401,4.58e-05,0.3,0.537,109.998,165829
latin,Tropical House,Sam Feldt,Save Tonight,7,0.632,0.776,1,-7.4,1,0.0288,0.101,2.71e-06,0.283,0.236,114.996,165645
latin,Tropical House,The Knocks,Awa Ni,55,0.667,0.818,1,-6.167,0,0.131,0.0358,0.000117,0.329,0.43,119.005,219777
latin,Tropical House,Bakermat,Baianá,54,0.564,0.723,2,-6.983,0,0.0702,0.000741,0.672,0.543,0.466,121.97,180843
latin,Tropical House,Robin Schulz,Ha Leh Lou Ya,54,0.708,0.777,0,-6.232,0,0.113,0.0097,2.62e-05,0.113,0.298,120.017,217853
latin,Tropical House,AINT,Illuminate,47,0.709,0.822,9,-3.517,0,0.065,0.0641,1.56e-05,0.112,0.355,121.984,140164
latin,Tropical House,Sam Feldt,I'll Be Back,11,0.719,0.598,9,-7.327,1,0.0326,0.283,4.42e-06,0.133,0.503,120.085,157810
latin,Tropical House,Möwe,Skyline,57,0.629,0.87,8,-3.352,0,0.0304,0.0325,1.71e-06,0.129,0.628,117.954,163948
latin,Tropical House,Sean Bradford,44th and 8th,26,0.841,0.691,6,-5.304,0,0.0374,0.425,6.01e-05,0.105,0.262,120.042,224200
latin,Tropical House,Silience,Love That We Need,46,0.579,0.776,9,-6.594,0,0.0478,0.0023,3.36e-06,0.255,0.565,123.95,177170
latin,Tropical House,Klingande,Pumped Up,53,0.732,0.734,0,-6.423,1,0.107,0.00719,1.49e-05,0.34,0.643,123.033,177073
latin,Tropical House,Sam Feldt,Blackbird,6,0.696,0.739,5,-6.616,1,0.0352,0.201,0.000726,0.113,0.169,117.973,179853
latin,Tropical House,Sol Calor,Midnight Sky,56,0.669,0.623,7,-7.057,1,0.0413,0.101,0.0481,0.412,0.184,90.761,214097
latin,Tropical House,Alan Walker,Tired - Kygo Remix,63,0.598,0.74,2,-7.391,1,0.0684,0.026,0.0,0.0895,0.342,123.945,240000
latin,Tropical House,Bortharm,Breathin' (feat. Cara Hughes),44,0.709,0.725,4,-2.658,1,0.0422,0.0371,0.000168,0.0434,0.372,125.924,160000
latin,Tropical House,Sander W.,Moment,47,0.818,0.734,2,-7.882,1,0.0613,0.0014,0.00177,0.0754,0.348,119.999,190133
latin,Tropical House,Sam Feldt,Wishing Well,6,0.698,0.653,9,-6.365,1,0.0521,0.424,0.0,0.321,0.381,100.976,186610
latin,Tropical House,Bakermat,Baby,64,0.708,0.922,1,-2.715,0,0.116,0.135,0.0513,0.225,0.637,125.961,160053
latin,Tropical House,Möwe,Boy Oh Boy,47,0.697,0.785,1,-4.78,0,0.0276,0.00706,2.59e-05,0.378,0.414,122.028,177253
latin,Tropical House,LVNDSCAPE,Himalaya,8,0.429,0.774,5,-8.846,0,0.0493,0.032,0.709,0.37,0.0671,119.975,263755
latin,Tropical House,Thomas Jack,Rivers - Sam Feldt & De Hofnar Remix,48,0.732,0.63,8,-7.827,1,0.056,0.0544,0.000149,0.147,0.405,125.0,251548
latin,Tropical House,Sam Feldt,Show Me Love - EDX Remix / Radio Edit,62,0.836,0.665,0,-5.779,1,0.0745,0.308,0.000925,0.0714,0.677,120.997,180336
latin,Tropical House,Klingande,Rebel Yell,49,0.657,0.711,0,-4.909,1,0.155,0.18,0.0,0.138,0.311,121.983,210221
latin,Tropical House,Hot Shade,Better,50,0.575,0.741,6,-2.904,1,0.0352,0.0826,0.0,0.0958,0.365,109.987,183171
