genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Indie Poptimism,Bea Miller,like that,73,0.573,0.441,6,-5.799,0,0.0758,0.186,0.0,0.61,0.389,61.657,185547
pop,Indie Poptimism,Anna of the North,Thank Me Later,54,0.755,0.496,2,-7.412,1,0.0787,0.197,0.000194,0.338,0.718,76.528,204240
pop,Indie Poptimism,Alexx Mack,Your Car,17,0.559,0.642,9,-9.127,1,0.103,0.0251,2.91e-06,0.266,0.203,100.083,226000
pop,Indie Poptimism,Coasts,Oceans,42,0.52,0.845,9,-4.567,1,0.0467,0.00163,0.0,0.311,0.537,127.709,222768
pop,Indie Poptimism,Matt Maeson,Hallucinogenics,66,0.549,0.653,0,-7.47,1,0.0503,0.457,0.0,0.0969,0.287,121.348,187173
pop,Indie Poptimism,Skylar Stecker,Blame,21,0.752,0.739,3,-3.761,0,0.0607,0.185,0.0,0.0982,0.652,104.937,172457
pop,Indie Poptimism,Hedley,In Love With A Broken Heart,32,0.581,0.749,1,-3.632,0,0.0493,0.0977,3.48e-05,0.111,0.675,100.092,217067
pop,Indie Poptimism,The Colourist,Wishing Wells,39,0.538,0.925,0,-4.62,1,0.0631,0.00249,4.52e-05,0.11,0.397,135.025,257880
pop,Indie Poptimism,Dresses,Catch,29,0.818,0.574,10,-7.192,1,0.0476,0.29,0.0,0.0875,0.869,120.027,231121
pop,Indie Poptimism,Paperwhite,Storm,40,0.638,0.793,10,-6.676,1,0.0393,0.0109,0.0253,0.161,0.523,113.944,195973
pop,Indie Poptimism,Youngblood Hawke,Blackbeak,40,0.566,0.763,7,-6.146,0,0.0296,0.00119,0.0,0.324,0.577,134.973,239160
pop,Indie Poptimism,BANNERS,Someone To You,74,0.46,0.928,2,-3.683,1,0.0451,0.00595,0.0,0.24,0.684,75.05,219800
pop,Indie Poptimism,flor,hold on,57,0.609,0.872,8,-4.72,1,0.0447,0.0483,0.000971,0.119,0.534,111.967,204774
pop,Indie Poptimism,Young Rising Sons,High,50,0.646,0.85,7,-5.145,1,0.043,0.028,7.21e-05,0.281,0.518,116.999,165720
pop,Indie Poptimism,Grizfolk,Waking Up The Giants,53,0.588,0.602,11,-8.919,0,0.0322,0.0442,0.00278,0.428,0.239,128.019,234800
pop,Indie Poptimism,Knox Hamilton,Mission Control,44,0.718,0.618,10,-5.824,1,0.0343,0.065,0.0,0.397,0.511,122.958,199080
