genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Dance Pop,The Chainsmokers,Call You Mine,39,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653
pop,Dance Pop,Sam Feldt,Post Malone (feat. RANI),83,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444
pop,Dance Pop,Marshmello,Here With Me,83,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347
pop,Dance Pop,5 Seconds of Summer,Easier - Seeb Remix,71,0.564,0.747,5,-3.374,1,0.0584,0.0728,0.0,0.151,0.717,97.878,165767
pop,Dance Pop,Ellie Goulding,Sixteen,81,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072
pop,Dance Pop,Katy Perry,Never Really Over,85,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523
pop,Dance Pop,Gryffin,All You Need To Know (feat. Calle Lehmann),76,0.513,0.788,0,-4.629,1,0.0364,0.00968,0.0,0.11,0.234,139.987,238459
pop,Dance Pop,NOTD,I Miss Myself (with HRVY),71,0.72,0.864,0,-3.249,1,0.208,0.0856,0.0,0.16,0.659,96.048,191612
pop,Dance Pop,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,65,0.789,0.858,5,-4.388,1,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455
pop,Dance Pop,The Chainsmokers,Takeaway (feat. Lennon Stella),67,0.294,0.505,3,-8.106,1,0.042,0.12,0.0,0.0977,0.357,85.332,209893
pop,Dance Pop,Zara Larsson,All the Time,74,0.665,0.799,6,-2.868,0,0.0617,0.18,0.0,0.125,0.5,101.976,228112
pop,Dance Pop,Jonas Blue,What I Like About You (feat. Theresa Rex),81,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396
pop,Dance Pop,Kaskade,With You,71,0.362,0.921,1,-3.815,0,0.486,0.123,0.0,0.19,0.529,172.191,180840
pop,Dance Pop,Gryffin,Body Back (feat. Maia Wright),75,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634
pop,Dance Pop,Kygo,Not Ok,73,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944
