genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Pop Remix,Ed Sheeran,I Don't Care (with Justin Bieber) - Loud Luxury Remix,66,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754
pop,Pop Remix,Maroon 5,Memories - Dillon Francis Remix,67,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600
pop,Pop Remix,Zara Larsson,All the Time - Don Diablo Remix,70,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616
pop,Pop Remix,The Chainsmokers,Call You Mine - Keanu Silva Remix,60,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
pop,Pop Remix,Lewis Capaldi,Someone You Loved - Future Humans Remix,69,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052
pop,Pop Remix,Ed Sheeran,Beautiful People (feat. Khalid) - Jack Wins Remix,67,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049
pop,Pop Remix,Katy Perry,Never Really Over - R3HAB Remix,62,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675
pop,Pop Remix,Sam Feldt,Post Malone (feat. RANI) - GATTÜSO Remix,69,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619
pop,Pop Remix,Avicii,Tough Love - Tiësto Remix / Radio Edit,68,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187
pop,Pop Remix,Shawn Mendes,If I Can't Have You - Gryffin Remix,67,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040
pop,Pop Remix,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,58,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894
pop,Pop Remix,Ellie Goulding,Hate Me - R3HAB Remix,67,0.437,0.774,8,-4.918,1,0.0554,0.148,0.0,0.133,0.329,123.125,203733
pop,Pop Remix,Loud Luxury,Body On My,67,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507
pop,Pop Remix,Avicii,SOS - Laidback Luke Tribute Remix / Radio Edit,68,0.572,0.915,5,-4.451,0,0.0625,0.0111,0.0,0.339,0.678,123.919,164516
pop,Pop Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,63,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
pop,Pop Remix,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,66,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230
pop,Pop Remix,AJ Mitchell,All My Friends - Eden Prince Remix,60,0.694,0.901,1,-4.322,0,0.0948,0.0702,0.0,0.427,0.368,118.051,173548
pop,Pop Remix,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,65,0.678,0.747,10,-5.289,0,0.165,0.0395,0.0,0.174,0.516,120.002,189375
pop,Pop Remix,Sam Smith,Dancing With A Stranger (With Normani) - Cheat Codes Remix,69,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404
pop,Pop Remix,Steve Aoki,Let It Be Me - Sondr Remix,35,0.467,0.821,7,-5.466,1,0.0934,0.00791,0.000441,0.131,0.232,122.676,185366
pop,Pop Remix,Avicii,Heaven - David Guetta & MORTEN Remix,70,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238
pop,Pop Remix,R3HAB,All Around The World (La La La) - Marnik Remix,64,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667
pop,Pop Remix,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,62,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
pop,Pop Remix,AJ Mitchell,Slow Dance (feat. Ava Max) - Sam Feldt Remix,70,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,193548
pop,Pop Remix,The Chainsmokers,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,58,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
pop,Pop Remix,Lewis Capaldi,Hold Me While You Wait - Steve Void Remix,63,0.675,0.76,11,-7.037,1,0.0434,0.104,0.0,0.33,0.468,124.933,172800
pop,Pop Remix,Marshmello,One Thing Right - Firebeatz Remix,66,0.682,0.851,1,-7.117,0,0.0363,0.0146,0.000834,0.0289,0.348,126.0,192381
pop,Pop Remix,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,8,0.663,0.905,1,-3.781,0,0.0511,0.0325,0.0,0.333,0.397,125.996,175000
pop,Pop Remix,Ava Max,So Am I - Toby Green Remix,62,0.625,0.938,6,-3.983,1,0.0517,0.00432,0.00026,0.0923,0.371,127.997,166875
pop,Pop Remix,Nikki Vianna,When You Leave - Breathe Carolina Remix,30,0.679,0.909,1,-2.929,1,0.105,0.0334,0.0,0.269,0.819,119.885,155080
pop,Pop Remix,Charlie Puth,Mother - Fedde Le Grand Remix,56,0.641,0.869,11,-4.754,1,0.0423,0.0319,0.00131,0.403,0.358,128.091,178125
pop,Pop Remix,Starley,Signs - Eden Prince Remix,56,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03e-05,0.374,0.503,121.993,172000
pop,Pop Remix,Zara Larsson,Ruin My Life - Steve James Remix,58,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952,177097
pop,Pop Remix,Ava Max,Torn - KREAM Remix,60,0.742,0.864,0,-5.06,1,0.0976,0.00141,0.00467,0.241,0.727,125.032,169935
pop,Pop Remix,James Arthur,Quite Miss Home - Steve Void Remix,60,0.716,0.815,10,-4.121,1,0.0533,0.108,0.0,0.163,0.351,124.975,220413
pop,Pop Remix,MAX,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,55,0.748,0.831,1,-5.029,1,0.115,0.0823,7.36e-05,0.0757,0.894,128.024,185273
pop,Pop Remix,Marshmello,Happier - Matt Medved Remix,59,0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,170164
pop,Pop Remix,The Chainsmokers,Side Effects - Fedde Le Grand Remix,63,0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360
pop,Pop Remix,ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],67,0.563,0.81,2,-2.921,1,0.0522,0.00522,0.0,0.0846,0.495,129.975,247385
pop,Pop Remix,Bazzi vs.,Paradise - Bazzi vs. Black Caviar Remix,55,0.728,0.815,11,-2.878,0,0.046,0.00223,0.000317,0.101,0.681,124.019,218015
pop,Pop Remix,Charli XCX,White Mercedes - EDX's Miami Sunset Remix,56,0.846,0.773,5,-3.503,1,0.0473,0.0141,2.23e-05,0.204,0.586,124.008,200444
pop,Pop Remix,Kygo,Higher Love,87,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267
pop,Pop Remix,Armin van Buuren,Unlove You,62,0.678,0.928,3,-3.66,0,0.0597,0.0303,3.33e-05,0.143,0.663,116.892,150160
pop,Pop Remix,Billie Eilish,bad guy (with Justin Bieber),83,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
pop,Pop Remix,Ava Max,Freaking Me Out - Keanu Silva Remix,55,0.755,0.931,1,-4.104,0,0.0606,0.132,0.0271,0.0854,0.288,122.041,177466
pop,Pop Remix,Sia,Heaven Can Wait - The Aston Shuffle Remix,61,0.622,0.859,5,-7.626,1,0.0636,0.000609,0.746,0.0909,0.442,121.968,218373
pop,Pop Remix,Sean Paul,When It Comes To You - Benny Benassi & BB Team Remix,56,0.789,0.893,10,-4.364,0,0.168,0.0538,0.0,0.221,0.41,121.956,144073
pop,Pop Remix,Charli XCX,Gone - The Wild Remix,57,0.64,0.838,6,-4.203,1,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861
pop,Pop Remix,Estelle,American Boy - Brooks Remix,56,0.609,0.764,5,-4.564,0,0.111,0.0994,0.0,0.197,0.531,128.082,200625
pop,Pop Remix,Bastille,Million Pieces - M-22 Remix,53,0.64,0.992,4,-3.318,0,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237
pop,Pop Remix,for KING & COUNTRY,joy. (R3HAB Remix),56,0.75,0.81,0,-4.607,0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500
pop,Pop Remix,Steve Aoki,Crash Into Me - Settle Down Steavis Aoki Remix,34,0.535,0.956,1,-2.996,0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719
pop,Pop Remix,Lil Nas X,Old Town Road - Diplo Remix,74,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027
pop,Pop Remix,Starley,Lovers + Strangers - GATTÜSO Remix,46,0.649,0.821,10,-4.952,0,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968
pop,Pop Remix,Calvin Harris,Promises (with Sam Smith) - David Guetta Remix,63,0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417
pop,Pop Remix,R3HAB,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,55,0.355,0.789,5,-4.358,0,0.165,0.0148,0.0,0.0355,0.169,80.444,237686
pop,Pop Remix,Why Don't We,What Am I - SONDR Remix,52,0.542,0.84,0,-5.283,0,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361
pop,Pop Remix,Olympis,Cool Kids,67,0.735,0.5,8,-11.297,1,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048
pop,Pop Remix,DJ Snake,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,63,0.752,0.84,6,-4.451,0,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800
pop,Pop Remix,Smash Mouth,All Star - Breathe Carolina Remix,60,0.748,0.903,3,-5.877,0,0.0385,0.0324,0.0,0.106,0.751,115.018,217043
pop,Pop Remix,SHAED,Trampoline - Dave Audé Remix,45,0.607,0.955,7,-3.613,0,0.102,0.0163,0.121,0.0725,0.501,125.984,230476
pop,Pop Remix,David Guetta,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,58,0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
pop,Pop Remix,Kaskade,With You - Dexter Remix,51,0.679,0.786,1,-6.918,0,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613
pop,Pop Remix,GASHI,Safety (feat. DJ Snake) - Dark Heart 2am Mix,58,0.714,0.801,5,-5.8,0,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000
pop,Pop Remix,Bazzi vs.,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,56,0.69,0.862,2,-4.154,1,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869
pop,Pop Remix,Khalid,Talk - Disclosure VIP,60,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229
pop,Pop Remix,Herve Pagez,Spicy - Majestic Remix,48,0.814,0.838,11,-5.547,1,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861
pop,Pop Remix,Mark Ronson,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,56,0.784,0.779,8,-5.48,1,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714
pop,Pop Remix,James Arthur,Treehouse - R3HAB Remix,56,0.367,0.783,6,-4.504,1,0.154,0.00515,0.0,0.0545,0.289,88.013,192653
pop,Pop Remix,Arlissa,Hearts Ain't Gonna Lie - Eden Prince Remix,65,0.609,0.83,6,-3.759,0,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451
