genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Pop Remix,Kygo,Higher Love,87,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267
pop,Pop Remix,Billie Eilish,bad guy (with Justin Bieber),83,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
pop,Dance Pop,Sam Feldt,Post Malone (feat. RANI),83,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444
pop,Dance Pop,Marshmello,Here With Me,83,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347
pop,Dance Pop,Ellie Goulding,Sixteen,81,0.669,0.801,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072
pop,Dance Pop,Katy Perry,Never Really Over,85,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,223523
pop,Dance Pop,Jonas Blue,What I Like About You (feat. Theresa Rex),81,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396
pop,Dance Pop,Zedd,The Middle,84,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732
pop,Dance Pop,Mabel,Don't Call Me Up,85,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480
pop,Dance Pop,Tiësto,Ritual,82,0.647,0.726,3,-4.389,0,0.0552,0.157,0.0,0.0844,0.767,114.996,198996
pop,Dance Pop,Silk City,Electricity (with Dua Lipa),81,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173
pop,Dance Pop,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",83,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500
pop,Dance Pop,The Chainsmokers,Closer (feat. Halsey),85,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960
pop,Dance Pop,Clean Bandit,Solo (feat. Demi Lovato),80,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653
pop,Dance Pop,Martin Garrix,Scared to Be Lonely,81,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883
pop,Dance Pop,The Black Eyed Peas,RITMO (Bad Boys For Life),96,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714
pop,Dance Pop,Calvin Harris,Promises (with Sam Smith),84,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309
pop,Dance Pop,Riton,Turn Me On (feat. Vula),86,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474
pop,Dance Pop,The Chainsmokers,Something Just Like This,83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
