genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Post Malone,Circles,98,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Maroon 5,Memories,98,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Dua Lipa,Don't Start Now,97,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,The Black Eyed Peas,RITMO (Bad Boys For Life),96,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Billie Eilish,bad guy,95,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Regard,Ride It,94,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,blackbear,hot girl bummer,94,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Lewis Capaldi,Someone You Loved,94,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Travis Scott,HIGHEST IN THE ROOM,94,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Selena Gomez,Lose You To Love Me,93,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Anuel AA,China,93,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Juice WRLD,Bandit (with YoungBoy Never Broke Again),92,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Rauw Alejandro,Fantasias,92,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,199711
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),91,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,J Balvin,LA CANCIÓN,91,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Y2K,Lalala,91,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Sam Smith,How Do You Sleep?,91,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Dan + Shay,"10,000 Hours (with Justin Bieber)",91,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,MEDUZA,Lose Control,91,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,SHAED,Trampoline (with ZAYN),90,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Lil Nas X,Old Town Road - Remix,90,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Daddy Yankee,Que Tire Pa Lante,90,0.658,0.901,7,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,210520
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Lil Tecca,Ransom,90,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Tainy,Adicto (with Anuel AA & Ozuna),90,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Bad Bunny,Callaita,90,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Ed Sheeran,Beautiful People (feat. Khalid),89,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Marshmello,Happier,89,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,89,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Noah Cyrus,July,88,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Shawn Mendes,Señorita,88,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,190800
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,ROSALÍA,"Yo x Ti, Tu x Mi",88,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,201040
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Sech,Si Te Vas,88,0.732,0.644,0,-4.124,1,0.132,0.0934,4.54e-06,0.143,0.554,174.1,204907
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),88,0.694,0.758,11,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,87,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Camila Cabello,Liar,87,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),87,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Halsey,Graveyard,87,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Niall Horan,Nice To Meet Ya,87,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Jhay Cortez,No Me Conoce - Remix,86,0.806,0.786,10,-3.831,0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Lewis Capaldi,Bruises,86,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Selena Gomez,Look At Her Now,86,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],86,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,279907
