genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
edm,Fitness Workout Electro | House | Dance | Progressive House,Dimitri Vangelis & Wyman,Payback,1,0.632,0.83,7,-5.193,0,0.063,0.0485,0.079,0.566,0.319,128.013,349507
edm,Fitness Workout Electro | House | Dance | Progressive House,Major Lazer,Come On To Me (feat. Sean Paul),1,0.666,0.914,2,-4.397,1,0.0477,0.0105,1.83e-05,0.0914,0.365,110.003,213818
edm,Fitness Workout Electro | House | Dance | Progressive House,R3HAB,Flashlight - Original Mix,1,0.705,0.949,10,-3.575,1,0.0454,0.0128,0.6,0.27,0.274,128.011,232500
edm,Fitness Workout Electro | House | Dance | Progressive House,Blasterjaxx,Echo - Original Mix,1,0.746,0.698,2,-6.962,0,0.0424,0.078,0.881,0.148,0.234,127.977,335630
edm,Fitness Workout Electro | House | Dance | Progressive House,Diplo,Boy Oh Boy,1,0.539,0.954,1,-3.054,0,0.12,0.00224,0.835,0.0623,0.389,129.956,174399
edm,Fitness Workout Electro | House | Dance | Progressive House,Showtek,Booyah - Original Mix,1,0.739,0.953,11,-2.624,1,0.133,0.00801,0.0104,0.0623,0.516,127.987,311211
edm,Fitness Workout Electro | House | Dance | Progressive House,Dimitri Vangelis & Wyman,Payback,1,0.632,0.83,7,-5.193,0,0.063,0.0485,0.079,0.566,0.319,128.013,349507
edm,Fitness Workout Electro | House | Dance | Progressive House,Martin Garrix,Wizard - Radio Edit,1,0.565,0.916,7,-4.715,0,0.052,0.00439,0.488,0.617,0.0795,127.844,202413
edm,Fitness Workout Electro | House | Dance | Progressive House,Major Lazer,Come On To Me (feat. Sean Paul),1,0.666,0.914,2,-4.397,1,0.0477,0.0105,1.83e-05,0.0914,0.365,110.003,213818
edm,Fitness Workout Electro | House | Dance | Progressive House,R3HAB,Flashlight - Original Mix,1,0.705,0.949,10,-3.575,1,0.0454,0.0128,0.6,0.27,0.274,128.011,232500
edm,Fitness Workout Electro | House | Dance | Progressive House,Blasterjaxx,Echo - Original Mix,1,0.746,0.698,2,-6.962,0,0.0424,0.078,0.881,0.148,0.234,127.977,335630
edm,Fitness Workout Electro | House | Dance | Progressive House,Diplo,Boy Oh Boy,1,0.539,0.954,1,-3.054,0,0.12,0.00224,0.835,0.0623,0.389,129.956,174399
edm,Fitness Workout Electro | House | Dance | Progressive House,Showtek,Booyah - Original Mix,1,0.739,0.953,11,-2.624,1,0.133,0.00801,0.0104,0.0623,0.516,127.987,311211
