genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
r&b,Ultimate Throwbacks Collection,2Pac,Keep Ya Head Up,1,0.634,0.734,8,-7.014,0,0.414,0.156,0.0,0.45,0.58,86.066,262507
r&b,Ultimate Throwbacks Collection,Ja Rule,New York,1,0.547,0.795,11,-5.825,0,0.444,0.253,0.0,0.0775,0.566,93.221,258213
r&b,Ultimate Throwbacks Collection,Ja Rule,Caught Up,1,0.762,0.711,1,-4.219,0,0.17,0.037,0.0,0.122,0.471,99.066,269133
r&b,Ultimate Throwbacks Collection,Ja Rule,Down A** B**ch,1,0.482,0.647,1,-6.582,0,0.316,0.338,0.0,0.0976,0.587,87.429,331133
r&b,Ultimate Throwbacks Collection,Ja Rule,I'm Real - Murder Remix,1,0.685,0.652,11,-5.623,0,0.151,0.419,0.0,0.0838,0.625,83.515,252893
r&b,Ultimate Throwbacks Collection,Ja Rule,Between Me & You,1,0.818,0.883,0,-4.547,1,0.0695,0.0202,0.000767,0.243,0.405,93.67,250173
r&b,Ultimate Throwbacks Collection,Lloyd,Southside,1,0.687,0.404,9,-9.481,0,0.0812,0.377,0.0,0.0813,0.448,75.009,277840
r&b,Ultimate Throwbacks Collection,Lloyd,Get It Shawty - Main,1,0.822,0.905,5,-4.032,0,0.241,0.123,0.0,0.0496,0.674,128.014,209533
r&b,Ultimate Throwbacks Collection,Ne-Yo,When You're Mad,1,0.66,0.548,6,-7.127,1,0.215,0.364,0.0,0.108,0.436,86.947,222000
r&b,Ultimate Throwbacks Collection,Snoop Dogg,Let's Get Blown,1,0.939,0.634,4,-4.6,0,0.195,0.409,0.11,0.233,0.717,106.008,280667
r&b,Ultimate Throwbacks Collection,Snoop Dogg,That's That Shit,1,0.866,0.63,9,-4.795,0,0.172,0.0199,0.0,0.036,0.75,82.044,257640
