genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
rock,Blues Rock,Little Richard,Long Tall Sally (The Thing),1,0.474,0.598,5,-5.023,1,0.0973,0.768,0.0,0.0841,0.917,184.484,131853
rock,Blues Rock,The White Stripes,The Air Near My Fingers,1,0.469,0.735,7,-7.011,1,0.0395,0.323,6.35e-05,0.372,0.399,93.924,220347
rock,Blues Rock,Albert King,Travelin' Man,1,0.671,0.758,7,-6.999,1,0.126,0.206,0.00754,0.0408,0.868,102.17,173373
rock,Blues Rock,The Heavy,Turn Up,1,0.533,0.907,7,-2.5,1,0.123,0.023,5.96e-05,0.617,0.512,142.098,207335
rock,Blues Rock,Muddy Waters,(I'm Your) Hoochie Coochie Man,1,0.692,0.312,7,-11.684,1,0.0375,0.833,0.0,0.0534,0.878,71.816,170587
rock,Blues Rock,Zac Brown Band,Heavy Is the Head,1,0.403,0.926,8,-3.171,1,0.0527,0.000372,0.00355,0.0844,0.736,171.066,239747
rock,Blues Rock,Jimi Charles Moody,Turns To Gold,1,0.476,0.869,2,-4.13,1,0.0371,0.00918,3.44e-05,0.0582,0.613,77.47,219314
rock,Blues Rock,White Denim,Ha Ha Ha Ha (Yeah),1,0.713,0.911,9,-5.45,1,0.0467,0.00808,0.0,0.131,0.927,134.822,233960
rock,Blues Rock,Madness,Mr. Apples,1,0.547,0.853,3,-2.49,0,0.0355,0.2,2.98e-06,0.254,0.723,137.561,219293
rock,Blues Rock,Tedeschi Trucks Band,Don't Know What It Means,1,0.644,0.623,11,-9.209,0,0.0358,0.409,0.015,0.378,0.777,91.661,358253
rock,Blues Rock,Tyler Bryant & the Shakedown,Devil's Keep,1,0.646,0.724,11,-5.383,1,0.0237,0.0531,0.000588,0.0597,0.328,103.394,265587
rock,Blues Rock,Goodbye June,Oh No,1,0.26,0.978,8,-3.842,1,0.217,0.0005,0.000107,0.28,0.272,133.104,220533
rock,Blues Rock,Jamestown Revival,Head On,1,0.504,0.729,0,-4.91,1,0.0404,0.0947,8.85e-06,0.114,0.563,77.472,290653
rock,Blues Rock,Mick Flannery,I Own You,1,0.538,0.721,2,-5.974,1,0.0342,0.19,5.73e-05,0.0723,0.339,141.969,211740
rock,Blues Rock,Dorothy,Shelter,1,0.563,0.299,4,-9.909,1,0.032,0.49,0.0,0.305,0.129,115.147,272655
