genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Pop Warmup 130 BPM,Catiso,Mercury,1,0.732,0.828,6,-5.935,0,0.0535,0.00379,0.797,0.272,0.226,128.003,189625
pop,Pop Warmup 130 BPM,oomiee,Pure Gold,1,0.64,0.857,4,-8.26,1,0.266,0.00164,0.557,0.336,0.645,128.058,147187
pop,K-Party Dance Mix,GOT7,하드캐리 Hard Carry,1,0.7,0.873,1,-2.901,1,0.0869,0.0148,0.0,0.343,0.612,99.972,193579
pop,90s Dance Hits,Masterboy,Generation Of Love,1,0.655,0.884,6,-6.515,0,0.0602,0.0102,0.0,0.259,0.772,140.008,219240
pop,Pop Punk | Post-Hardcore,blink-182,Up All Night,1,0.476,0.896,9,-5.097,1,0.0543,0.000363,9.83e-05,0.0874,0.45,155.966,199707
pop,Pop Punk | Post-Hardcore,Box Car Racer,There Is,1,0.623,0.853,4,-5.356,1,0.0472,0.141,0.0,0.143,0.783,106.099,196600
pop,🤩🤪Post Teen Pop🤪🤩,Kid Ink,Body Language (feat. Usher & Tinashe),1,0.882,0.53,5,-5.771,0,0.0379,0.0187,0.0,0.097,0.256,99.015,206280
pop,Someone You Loved Lewis Capaldi (Pop Music Mix),L0uie L0u,Make You Mine,1,0.445,0.576,7,-10.152,0,0.349,0.528,0.0,0.561,0.239,143.694,205296
pop,Someone You Loved Lewis Capaldi (Pop Music Mix),Jae Mazor,So Good,1,0.66,0.461,10,-7.332,1,0.0373,0.385,0.00535,0.0883,0.14,124.018,216948
pop,Someone You Loved Lewis Capaldi (Pop Music Mix),Rippa da Kid,Raw,1,0.54,0.877,1,-4.263,0,0.18,0.271,0.0,0.161,0.45,103.073,202633
pop,Someone You Loved Lewis Capaldi (Pop Music Mix),Fayn,Relentless,1,0.519,0.954,2,-4.381,1,0.402,0.0571,0.0,0.428,0.18,119.394,224027
pop,BALLARE - رقص,Vic Mensa,Liquor Locker,1,0.559,0.437,6,-7.086,0,0.149,0.0542,0.0,0.0551,0.485,79.806,258120
pop,BALLARE - رقص,Run The Jewels,Oh My Darling Don't Cry,1,0.525,0.589,1,-7.125,1,0.296,0.0172,4.35e-06,0.485,0.323,104.608,204840
pop,BALLARE - رقص,Mr. Belt & Wezol,Boogie Wonderland,1,0.724,0.891,0,-4.275,1,0.047,0.00448,0.0108,0.158,0.717,124.061,168196
pop,ELECTROPOP,Cheat Codes,Sex,1,0.51,0.692,0,-5.825,1,0.171,0.00451,0.0,0.138,0.209,102.42,228361
