genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
rap,Hip Hop Controller,Post Malone,Too Young,1,0.637,0.67,11,-5.484,0,0.048,0.254,5.43e-05,0.0829,0.227,122.999,237627
rap,Hip Hop Controller,Vince Staples,Big Fish,1,0.893,0.551,3,-5.878,0,0.341,0.455,9.15e-06,0.351,0.697,99.986,198053
rap,This Is Logic,Logic,Buried Alive,1,0.759,0.826,3,-6.627,0,0.0613,0.0977,2.07e-05,0.275,0.545,139.943,337747
rap,This Is Logic,Logic,Killing Spree,1,0.854,0.77,1,-5.887,0,0.159,0.028,0.0,0.117,0.178,123.984,206613
rap,This Is Logic,Logic,City Of Stars,1,0.415,0.868,0,-5.826,1,0.131,0.125,0.0175,0.241,0.606,93.628,376640
rap,This Is Logic,Logic,Never Been,1,0.459,0.781,10,-6.122,0,0.059,0.0976,1.26e-05,0.573,0.629,98.848,247133
rap,This Is Logic,Logic,Stainless,1,0.7,0.891,2,-4.988,1,0.0364,0.0712,6.01e-06,0.271,0.605,139.993,199573
rap,Lofi Hip-Hop,Moo Latte,Arrivals,1,0.467,0.262,6,-15.547,1,0.0824,0.664,0.879,0.0659,0.202,70.028,160000
rap,Lofi Hip-Hop,CPRCRN,Arms Of Mine,1,0.782,0.263,11,-19.737,0,0.0664,0.876,0.897,0.11,0.491,115.083,75103
rap,Lofi Hip-Hop,David Chief,santorini,1,0.814,0.217,2,-15.636,0,0.086,0.785,0.908,0.1,0.722,82.965,68000
rap,Southern Hip Hop,Big Tymers,Get Your Roll On,1,0.849,0.812,7,-5.005,1,0.111,0.0111,0.0017,0.109,0.454,88.93,245200
rap,Southern Hip Hop,T.I.,Why You Wanna,1,0.802,0.772,1,-4.893,0,0.192,0.358,0.0,0.0603,0.654,96.046,215000
rap,Southern Hip Hop,Scarface,On My Block,1,0.834,0.917,10,-3.194,1,0.205,0.165,0.0,0.0533,0.601,82.766,214533
rap,Southern California Hip Hop Primer,Abstract Rude,Beat Streaming,1,0.749,0.537,7,-10.643,1,0.32,0.491,0.0096,0.352,0.606,142.55,214016
rap,Dirty South Rap Classics by DJ HOTSAUCE,Ludacris,Southern Hospitality (Featuring Pharrell),1,0.623,0.896,0,-4.719,1,0.247,0.035,0.0,0.0941,0.613,95.158,300933
rap,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,Demi Lovato,Kingdom Come,1,0.563,0.809,5,-5.09,0,0.0768,0.0276,0.0,0.365,0.275,176.029,244014
rap,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,Lady Gaga,Swine,1,0.712,0.861,0,-3.625,1,0.136,0.0062,3.42e-05,0.634,0.209,127.89,268600
rap,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,S.A.S,So Much Pain,1,0.551,0.883,1,-5.919,0,0.0913,0.118,0.0,0.109,0.2,79.991,241000
rap,Badass Rock,Various Artists,Devil’s Gonna Come,1,0.342,0.702,2,-7.096,0,0.0411,0.0775,0.107,0.113,0.516,168.021,204375
rap,Badass Rock,The Devil and the Almighty Blues,Tired Old Dog,1,0.468,0.563,1,-7.773,1,0.0301,0.038,0.0869,0.0956,0.431,83.726,387669
rap,Badass Rock,The Pretty Reckless,Going to Hell,1,0.559,0.994,6,-2.148,1,0.128,7.46e-05,0.00265,0.375,0.268,115.016,278789
rap,Southern Soul BBQ Mix,T.K. Soul,Try Me,1,0.654,0.607,7,-4.64,0,0.0283,0.109,0.0,0.177,0.698,83.975,305987
rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",Wale,Running Back (feat. Lil Wayne),1,0.792,0.675,2,-4.526,1,0.093,0.0722,0.0,0.143,0.11,127.076,215440
rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",Drake,Sacrifices,1,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112,307593
rap,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",Big Boi,Kill Jill,1,0.771,0.527,7,-6.798,0,0.232,0.205,0.0,0.0978,0.113,139.934,266857
