genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
r&b,Contemporary Urban,Lucky Daye,Real Games,1,0.678,0.368,1,-7.842,1,0.196,0.453,8.99e-05,0.0716,0.551,70.958,331280
r&b,Chixtape 5 - Tory Lanez,The Plug,"Broken Homes (feat. Nafe Smallz, M Huncho & Gunna)",1,0.856,0.621,6,-8.71,1,0.0499,0.162,0.0,0.116,0.635,126.983,226983
r&b,Chixtape 5 - Tory Lanez,Huncho Jack,Dubai Shit,1,0.768,0.535,10,-4.489,0,0.0534,0.0569,0.0,0.0902,0.239,138.086,228431
r&b,PROJECT: Contemporary,Metro Boomin,"Only You (feat. WizKid, Offset & J Balvin)",1,0.732,0.69,4,-7.745,0,0.174,0.538,9.37e-05,0.191,0.636,117.157,218627
r&b,PROJECT: Contemporary,JID,Workin Out,1,0.818,0.57,10,-8.067,0,0.285,0.384,0.000102,0.19,0.561,126.938,226859
r&b,Urban/Trap - Contemporary RAP,Pusha T,Blocka,1,0.803,0.522,1,-5.971,1,0.111,0.0232,0.0,0.108,0.189,127.943,214667
r&b,Urban/Trap - Contemporary RAP,Drake,6 Man,1,0.812,0.535,4,-9.306,1,0.449,0.217,0.0,0.114,0.321,78.974,167653
r&b,Urban/Trap - Contemporary RAP,Drake,No Tellin',1,0.823,0.467,0,-10.394,0,0.301,0.543,0.0,0.135,0.618,95.024,310933
r&b,Urban/Trap - Contemporary RAP,Rihanna,Bitch Better Have My Money,1,0.782,0.712,1,-4.964,1,0.0603,0.0447,2.98e-06,0.257,0.366,102.986,219306
r&b,urban CONTEMPORARY,Healy,Reckless,1,0.846,0.366,2,-8.415,1,0.417,0.509,2.76e-05,0.236,0.421,81.179,237157
r&b,Urban Contemporary,Childish Gambino,Terrified,1,0.473,0.409,0,-10.998,0,0.0544,0.416,0.566,0.099,0.103,139.891,255467
r&b,Cuban vibes only,Baby Lores,"Dime Qué Más (with Roldán de Orishas, Omara Portuondo)",1,0.686,0.726,7,-5.321,1,0.0369,0.546,0.0,0.362,0.454,129.999,286067
r&b,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,Ohio Players,Fire,1,0.65,0.744,5,-11.732,1,0.0601,0.354,0.0188,0.315,0.846,107.297,276333
r&b,90s/00s Hip Hop & RnB,Lil Jon & The East Side Boyz,Get Low - Street,1,0.763,0.627,1,-7.457,1,0.037,0.031,0.0,0.118,0.152,101.045,334093
r&b,Bluegrass Covers,The Beef Seeds,Dark Horse,1,0.777,0.799,10,-3.998,0,0.0438,0.725,0.0,0.111,0.898,120.001,262001
r&b,Bluegrass Covers,Love Canon,Islands in the Stream,1,0.642,0.698,7,-6.907,1,0.0256,0.616,0.0,0.187,0.628,111.96,244000
r&b,Bluegrass Covers,The HillBenders,Pinball Wizard,1,0.548,0.538,2,-7.395,1,0.0438,0.82,9.63e-05,0.0878,0.258,130.099,223973
r&b,Bluegrass Covers,Mountain Faith,22,1,0.759,0.357,7,-12.313,1,0.0446,0.748,0.0,0.0796,0.89,120.958,87453
r&b,Bluegrass Covers,The Cleverlys,No Diggity,1,0.741,0.657,1,-5.564,0,0.054,0.639,0.0,0.104,0.778,90.954,351419
r&b,Bluegrass Covers,Rhonda Vincent,Jolene,1,0.606,0.676,0,-5.129,1,0.0296,0.596,1.8e-05,0.151,0.82,116.241,194000
r&b,Musica Italiana 2020 - Playlist Pop & Hip-Hop (Canzoni Italiane 2020),Stevie Wonder,Can't Do Without Your Love,1,0.658,0.659,1,-5.937,0,0.0513,0.211,0.0,0.13,0.91,122.886,170635
r&b,Today's Hits (Clean),SoMo,For You,1,0.839,0.465,1,-6.798,1,0.0664,0.327,0.0,0.111,0.578,106.957,163000
r&b,Today's Hits (Clean),Young G Freezy,Where The Beat Go - Radio Edit,1,0.697,0.365,1,-14.154,1,0.13,0.298,0.392,0.258,0.121,140.021,194305
r&b,Smooth Hip Hop,The Pharcyde,Runnin',1,0.752,0.793,6,-7.824,1,0.156,0.0437,0.00252,0.333,0.874,94.093,295160
r&b,Smooth Hip Hop,Kendrick Lamar,Complexion (A Zulu Love),1,0.665,0.558,2,-7.863,0,0.303,0.566,4.57e-06,0.219,0.37,89.953,263360
r&b,New Jack Swing,Janet Jackson,When I Think Of You,1,0.763,0.603,9,-12.23,1,0.0404,0.0745,0.0214,0.0544,0.681,116.232,235360
r&b,New Jack Swing,Janet Jackson,Nasty,1,0.843,0.873,1,-12.549,0,0.0628,0.454,0.041,0.267,0.609,103.652,243933
r&b,New Jack Swing,Janet Jackson,Let's Wait Awhile,1,0.592,0.188,1,-17.243,1,0.0377,0.82,0.0,0.132,0.378,172.683,276689
