genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
edm,Nasty Bits,Moksi,So Fly,1,0.875,0.931,9,-5.26,0,0.092,0.00164,0.000585,0.0757,0.681,128.012,180180
edm,Electro Swing,Caro Emerald,Pack Up The Louie - Caravan Palace Remix,1,0.825,0.87,10,-4.377,1,0.216,0.49,4.63e-05,0.0984,0.544,116.044,207531
edm,Electro Swing,Jenova Collective,My Bad Alice,1,0.601,0.974,6,-5.432,0,0.435,0.0338,4.76e-06,0.156,0.57,130.032,283739
edm,Electro Swing,Luca Lento,The Cat Came Back - Bdd Remix Edit,1,0.786,0.932,4,-4.575,0,0.0829,0.277,0.000115,0.17,0.888,126.95,173284
edm,Electro Swing,Swing Republic,Sing It Back,1,0.732,0.586,3,-7.934,0,0.0981,0.72,0.0,0.337,0.9,120.927,211901
edm,Electro Swing,Kormac,Superhero - Original Mix,1,0.878,0.814,0,-8.858,0,0.0623,0.0195,0.468,0.0515,0.844,123.026,327838
edm,New House   ‍,Miley Cyrus,Malibu - The Him Remix,1,0.509,0.675,5,-3.915,0,0.0419,0.286,0.000313,0.114,0.289,125.002,218907
edm,Jeff Seid Electro House,Dimitri Vegas & Like Mike,Tremor - Radio Edit,1,0.615,0.919,11,-4.999,1,0.0367,0.00201,0.687,0.196,0.225,127.991,193140
edm,Jeff Seid Electro House,Martin Garrix,Wizard - Radio Edit,1,0.565,0.916,7,-4.715,0,0.052,0.00439,0.488,0.617,0.0795,127.844,202413
edm,Jeff Seid Electro House,Martin Garrix,Proxy - Original Mix,1,0.682,0.698,0,-5.679,1,0.0335,0.0087,0.834,0.237,0.257,128.058,279385
edm,Jeff Seid Electro House,DVBBS,Pyramids - Radio Mix,1,0.602,0.965,10,-0.959,1,0.074,0.000269,0.00202,0.0859,0.215,128.14,196875
edm,Jeff Seid Electro House,Lucas & Steve,Let's Go,1,0.624,0.847,11,-5.462,0,0.034,0.0238,0.902,0.0674,0.179,125.997,191429
edm,Jeff Seid Electro House,Madison Mars,Atom,1,0.694,0.912,9,-3.1,0,0.173,0.0225,0.00341,0.267,0.31,125.992,190000
edm,Jeff Seid Electro House,Mike Williams,Jetlag,1,0.659,0.946,1,-3.071,1,0.0504,0.0128,0.794,0.148,0.487,128.019,142521
edm,Crossfit‏‏​​   ‍,Wahlstedt,You & Me,1,0.651,0.798,0,-4.401,1,0.0278,0.00566,0.0106,0.121,0.291,128.043,176250
