genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
r&b,New Hip Hop‏‏​​   ‍,Future,Life Is Good (feat. Drake),93,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735
r&b,New Hip Hop‏‏​​   ‍,Tyga,Ayy Macarena,91,0.816,0.63,2,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,131607
r&b,New Hip Hop‏‏​​   ‍,Travis Scott,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,89,0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,244874
r&b,New Hip Hop‏‏​​   ‍,Arizona Zervas,FML,82,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,223000
r&b,New Hip Hop‏‏​​   ‍,JACKBOYS,OUT WEST (feat. Young Thug),87,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712
r&b,New Hip Hop‏‏​​   ‍,H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",61,0.815,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.982,296011
r&b,New Hip Hop‏‏​​   ‍,Arizona Zervas,ROXANNE,71,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636
r&b,New Hip Hop‏‏​​   ‍,French Montana,Out Of Your Mind (feat. Swae Lee & Chris Brown),75,0.718,0.882,4,-4.677,0,0.0521,0.0229,0.0286,0.102,0.611,95.005,194171
r&b,New Hip Hop‏‏​​   ‍,JACKBOYS,GANG GANG,84,0.859,0.6,7,-4.63,0,0.301,0.071,0.0,0.353,0.568,123.017,244761
r&b,New Hip Hop‏‏​​   ‍,YNW Melly,Suicidal,90,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997
r&b,New Hip Hop‏‏​​   ‍,Fivio Foreign,Richer Than Ever,40,0.715,0.537,9,-9.414,1,0.279,0.00235,0.0,0.358,0.287,142.952,185443
r&b,New Hip Hop‏‏​​   ‍,21 Savage,Immortal,83,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723
r&b,New Hip Hop‏‏​​   ‍,Y2K,Lalala,91,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627
r&b,New Hip Hop‏‏​​   ‍,Travis Scott,HIGHEST IN THE ROOM,94,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721
r&b,New Hip Hop‏‏​​   ‍,Russ,BEST ON EARTH (feat. BIA),82,0.568,0.764,5,-3.465,0,0.255,0.217,0.0,0.0931,0.625,179.985,160720
r&b,New Hip Hop‏‏​​   ‍,Young Thug,Hop Off A Jet (feat. Travis Scott),82,0.823,0.476,7,-8.951,1,0.242,0.0115,0.0,0.213,0.353,144.998,174067
r&b,New Hip Hop‏‏​​   ‍,Lil Tjay,20/20,79,0.886,0.336,4,-12.779,1,0.239,0.557,0.0,0.0933,0.536,100.044,230448
r&b,New Hip Hop‏‏​​   ‍,Tyga,MAMACITA,77,0.786,0.733,6,-4.961,0,0.127,0.0257,0.0,0.143,0.358,101.046,202653
r&b,New Hip Hop‏‏​​   ‍,Juice WRLD,Bandit (with YoungBoy Never Broke Again),92,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
r&b,New Hip Hop‏‏​​   ‍,J Hus,No Denying,70,0.538,0.725,0,-5.446,1,0.29,0.139,0.0,0.356,0.534,140.087,214547
r&b,New Hip Hop‏‏​​   ‍,Lil Uzi Vert,Futsal Shuffle 2020,91,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913
r&b,New Hip Hop‏‏​​   ‍,Lil Tjay,F.N,82,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000
r&b,New Hip Hop‏‏​​   ‍,DaBaby,BOP,93,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715
r&b,New Hip Hop‏‏​​   ‍,Doja Cat,Juicy (feat. Tyga),75,0.786,0.652,0,-2.607,1,0.0669,0.102,0.0,0.0697,0.483,170.031,203093
r&b,New Hip Hop‏‏​​   ‍,Calboy,Purpose (feat. G Herbo),60,0.841,0.693,3,-5.635,0,0.179,0.207,0.0,0.102,0.706,154.978,179840
r&b,New Hip Hop‏‏​​   ‍,Roddy Ricch,The Box,98,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
r&b,New Hip Hop‏‏​​   ‍,Russ,NIGHTTIME (Interlude),75,0.823,0.556,5,-5.883,0,0.118,0.34,0.00121,0.084,0.879,142.0,189867
r&b,New Hip Hop‏‏​​   ‍,KILLY,Vendetta,62,0.852,0.537,10,-8.186,0,0.105,0.104,0.0,0.0732,0.592,132.089,149413
r&b,New Hip Hop‏‏​​   ‍,Roddy Ricch,Peta (feat. Meek Mill),84,0.778,0.573,10,-7.339,0,0.251,0.015,0.0,0.464,0.269,140.114,198849
r&b,New Hip Hop‏‏​​   ‍,Lil Tjay,Go In,78,0.799,0.698,9,-5.947,0,0.169,0.125,0.0,0.0778,0.799,121.998,254963
r&b,New Hip Hop‏‏​​   ‍,24kGoldn,VALENTINO,75,0.747,0.717,9,-4.841,0,0.179,0.199,0.0,0.132,0.523,150.965,179133
r&b,New Hip Hop‏‏​​   ‍,Roddy Ricch,Start Wit Me (feat. Gunna),80,0.886,0.479,4,-8.054,0,0.334,0.077,0.0,0.135,0.408,130.029,158692
r&b,New Hip Hop‏‏​​   ‍,Flipp Dinero,How I Move (feat. Lil Baby),67,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,224916
r&b,New Hip Hop‏‏​​   ‍,Kanye West,Follow God,85,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591
r&b,New Hip Hop‏‏​​   ‍,Lil Nas X,Panini,13,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893
r&b,New Hip Hop‏‏​​   ‍,Trippie Redd,6 Kiss,83,0.687,0.449,2,-10.061,1,0.154,0.109,0.0,0.282,0.229,142.048,199437
r&b,New Hip Hop‏‏​​   ‍,7715,Red Eye,40,0.775,0.653,1,-4.755,1,0.103,0.298,0.0,0.101,0.658,131.911,154709
r&b,New Hip Hop‏‏​​   ‍,Blac Youngsta,Like A Pro,57,0.864,0.483,8,-5.147,1,0.363,0.00518,0.0,0.0755,0.428,164.916,177008
r&b,New Hip Hop‏‏​​   ‍,Not3s,Princ3,61,0.556,0.692,9,-5.986,0,0.284,0.183,0.0,0.131,0.702,105.473,187381
r&b,New Hip Hop‏‏​​   ‍,Future,Last Name (feat. Lil Durk),70,0.671,0.568,0,-6.48,1,0.421,0.17,0.0,0.139,0.336,113.296,209587
r&b,New Hip Hop‏‏​​   ‍,Blac Youngsta,Whisper,61,0.893,0.783,7,-4.173,1,0.236,0.0259,0.0,0.197,0.584,101.993,197192
r&b,New Hip Hop‏‏​​   ‍,Rich The Kid,That's Tuff (feat. Quavo),75,0.903,0.636,10,-4.313,0,0.205,0.635,0.0,0.0866,0.308,137.993,154000
r&b,New Hip Hop‏‏​​   ‍,Doja Cat,Cyber Sex,74,0.917,0.657,8,-5.716,1,0.0921,0.318,3.62e-06,0.0754,0.818,131.03,165733
r&b,New Hip Hop‏‏​​   ‍,Lil Baby,Woah,88,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011
r&b,New Hip Hop‏‏​​   ‍,Fredo,Netflix & Chill,75,0.859,0.619,6,-9.434,1,0.121,0.137,0.0,0.0933,0.631,132.01,221818
r&b,New Hip Hop‏‏​​   ‍,Mustard,Ballin' (with Roddy Ricch),90,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435
r&b,New Hip Hop‏‏​​   ‍,French Montana,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",76,0.774,0.836,9,-2.323,0,0.152,0.288,2.44e-05,0.0824,0.494,112.014,201271
r&b,New Hip Hop‏‏​​   ‍,Don Toliver,No Idea,92,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750
r&b,New Hip Hop‏‏​​   ‍,Koffee,W (feat. Gunna),74,0.856,0.721,6,-6.813,0,0.0779,0.178,2.14e-05,0.0913,0.902,100.98,230151
r&b,New Hip Hop‏‏​​   ‍,YNW Melly,Bang Bang,78,0.657,0.522,10,-7.632,1,0.397,0.156,0.0,0.0811,0.442,179.687,260333
r&b,New Hip Hop‏‏​​   ‍,24kGoldn,DROPPED OUTTA COLLEGE,64,0.911,0.378,0,-7.822,1,0.411,0.0116,1.53e-06,0.15,0.19,120.044,127613
