genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
rap,RapCaviar,Future,Life Is Good (feat. Drake),93,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735
rap,RapCaviar,Roddy Ricch,The Box,98,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
rap,RapCaviar,Mac Miller,I Can See,73,0.699,0.503,5,-9.922,0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,220853
rap,RapCaviar,Lil Uzi Vert,Futsal Shuffle 2020,91,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913
rap,RapCaviar,Eminem,Godzilla (feat. Juice WRLD),79,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800
rap,RapCaviar,Lil Baby,Sum 2 Prove,81,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,205760
rap,RapCaviar,Rich The Kid,Money Talk,64,0.804,0.641,10,-6.2,0,0.261,0.0313,0.0,0.148,0.576,154.967,174640
rap,RapCaviar,DaBaby,BOP,93,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715
rap,RapCaviar,Polo G,First Place,60,0.656,0.566,0,-9.501,1,0.339,0.0125,0.0,0.0655,0.563,137.215,199992
rap,RapCaviar,Eminem,No Regrets (feat. Don Toliver),71,0.756,0.747,9,-5.407,1,0.046,0.0048,0.00536,0.588,0.0687,134.935,200947
rap,RapCaviar,YNW Melly,Suicidal,90,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997
rap,RapCaviar,JACKBOYS,OUT WEST (feat. Young Thug),87,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712
rap,RapCaviar,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),86,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366
rap,RapCaviar,2 Chainz,Dead Man Walking (feat. Future),63,0.848,0.699,5,-5.425,0,0.157,0.0401,0.0,0.148,0.535,150.024,135507
rap,RapCaviar,Lil Baby,Woah,88,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011
rap,RapCaviar,Juice WRLD,Bandit (with YoungBoy Never Broke Again),92,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
rap,RapCaviar,Flipp Dinero,How I Move (feat. Lil Baby),80,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,224916
rap,RapCaviar,Roddy Ricch,Peta (feat. Meek Mill),84,0.778,0.573,10,-7.339,0,0.251,0.015,0.0,0.464,0.269,140.114,198849
rap,RapCaviar,Trippie Redd,Death (feat. DaBaby),82,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,172196
rap,RapCaviar,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],86,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,279907
rap,RapCaviar,Baby Keem,ORANGE SODA,83,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882
rap,RapCaviar,Roddy Ricch,High Fashion (feat. Mustard),83,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487
rap,RapCaviar,DaBaby,VIBEZ,88,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935
rap,RapCaviar,Young Thug,Hop Off A Jet (feat. Travis Scott),82,0.823,0.476,7,-8.951,1,0.242,0.0115,0.0,0.213,0.353,144.998,174067
rap,RapCaviar,Stunna 4 Vegas,UP THE SMOKE (with Offset),81,0.907,0.765,4,-7.043,1,0.426,0.0512,0.0,0.153,0.896,142.992,188048
rap,RapCaviar,Tee Grizzley,Red Light,56,0.846,0.716,1,-5.516,1,0.236,0.00101,0.0,0.244,0.213,98.005,127347
rap,RapCaviar,Don Toliver,No Idea,92,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750
rap,RapCaviar,Internet Money,Somebody,83,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333
rap,RapCaviar,NLE Choppa,Famous Hoes,80,0.732,0.627,4,-5.693,0,0.161,0.346,0.0,0.261,0.332,81.481,135460
rap,RapCaviar,Smokepurpp,What I Please (feat. Denzel Curry),74,0.803,0.709,10,-8.164,0,0.327,0.0352,0.0,0.122,0.54,139.877,140591
rap,RapCaviar,Moneybagg Yo,U Played (feat. Lil Baby),73,0.876,0.847,2,-3.574,1,0.232,0.00335,0.0,0.293,0.882,134.963,164754
rap,RapCaviar,YoungBoy Never Broke Again,Make No Sense,84,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630
rap,RapCaviar,NLE Choppa,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",77,0.79,0.88,7,-1.983,1,0.376,0.324,0.0,0.0829,0.857,175.013,198694
rap,RapCaviar,Travis Scott,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,89,0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,244874
rap,RapCaviar,Trippie Redd,6 Kiss,83,0.687,0.449,2,-10.061,1,0.154,0.109,0.0,0.282,0.229,142.048,199437
