genre,playlist_name,track_artist,track_name,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Pop Remix,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,63,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
pop,Dance Pop,Martin Garrix,No Sleep (feat. Bonn),76,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095
pop,Dance Pop,Martin Garrix,Home (feat. Bonn),72,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067
pop,Dance Pop,Martin Garrix,Scared to Be Lonely,81,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883
pop,Dance Room,Martin Garrix,Used To Love (with Dean Lewis),83,0.651,0.693,4,-4.722,1,0.0375,0.458,0.0,0.335,0.392,118.97,236765
pop,Cardio,Martin Garrix,These Are The Times (feat. JRM),71,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
pop,Dance Pop Hits,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),83,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805
pop,Pop Warmup 130 BPM,Martin Garrix,High On Life (feat. Bonn),77,0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,230762
pop,Pop Warmup 130 BPM,Martin Garrix,Burn Out (feat. Dewain Whitmore),68,0.594,0.722,4,-5.751,0,0.0398,0.0156,0.0,0.0667,0.407,127.877,200322
pop,Pop Warmup 130 BPM,Martin Garrix,Glitch,56,0.715,0.792,2,-6.4,0,0.0325,0.055,0.0236,0.269,0.357,128.024,185161
pop,Pop Warmup 130 BPM,Martin Garrix,In the Name of Love,80,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707
pop,Dance Pop,Martin Garrix,Forever,62,0.45,0.898,8,-3.604,0,0.0395,0.0277,0.0616,0.166,0.22,127.983,218437
pop,Dance Pop,Martin Garrix,Lions in the Wild,2,0.504,0.847,7,-6.81,0,0.0442,0.00434,0.0,0.816,0.28,127.854,211890
pop,Dance Pop,Martin Garrix,Now That I've Found You,57,0.495,0.831,5,-5.812,0,0.0319,0.021,4.79e-05,0.495,0.414,128.064,192632
pop,Dance Pop Tunes,Martin Garrix,Mistaken (feat. Alex Aris),68,0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,282481
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Martin Garrix,No Sleep (feat. Bonn),76,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Martin Garrix,Mistaken (feat. Alex Aris),68,0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,282481
pop,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,Martin Garrix,High On Life (feat. Bonn),77,0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,230762
pop,Electropop Hits  2017-2020,Martin Garrix,Scared to Be Lonely,81,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883
pop,Electropop 2019,Martin Garrix,High On Life (feat. Bonn),77,0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,230762
pop,Electropop 2019,Martin Garrix,No Sleep (feat. Bonn),76,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095
pop,ELECTROPOP,Martin Garrix,In the Name of Love,80,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707
pop,Electropop - Pop,Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),72,0.526,0.52,6,-7.985,0,0.0569,0.435,0.0,0.197,0.13,149.119,183637
pop,Electropop - Pop,Martin Garrix,Ocean (feat. Khalid),76,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,216420
pop,Electropop - Pop,Martin Garrix,There for You,74,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904
pop,Electropop - Pop,Martin Garrix,Together,61,0.509,0.729,1,-4.773,1,0.0343,0.0732,2.73e-05,0.233,0.196,127.871,221274
pop,Mix ElectroPop//ElectroHouse// DeepHouse 2020,Martin Garrix,Forbidden Voices,64,0.534,0.711,10,-5.927,0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635
pop,ElectroPop,Martin Garrix,Now That I've Found You,57,0.495,0.831,5,-5.812,0,0.0319,0.021,4.79e-05,0.495,0.414,128.064,192632
pop,indie poptimism🕺🏻,Martin Garrix,No Sleep (feat. Bonn),76,0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095
pop,indie poptimism🕺🏻,Martin Garrix,There for You,74,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904
rap,HIP&HOP,Martin Garrix,Helicopter - Video Edit,2,0.584,0.96,7,-4.492,0,0.0379,0.0104,0.516,0.175,0.165,128.003,206450
rap,HIP&HOP,Martin Garrix,Wizard - Radio Edit,0,0.565,0.916,7,-4.715,0,0.052,0.00439,0.488,0.617,0.0795,127.844,202412
latin,Tropical House 🏝 2020 Hits,Martin Garrix,These Are The Times (feat. JRM),71,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
latin,Tropical House 🏝 2020 Hits,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),83,0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805
latin,EDM TROPICAL,Martin Garrix,Ocean (feat. Khalid),76,0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,216420
r&b,Today's Hits (Clean),Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya),72,0.526,0.52,6,-7.985,0,0.0569,0.435,0.0,0.197,0.13,149.119,183637
edm,Electro House 2020,Martin Garrix,Ocean (feat. Khalid) - David Guetta Remix,64,0.609,0.824,0,-8.251,0,0.0795,0.0913,2.88e-05,0.134,0.36,127.072,195833
edm,Electro House Top Tracks,Martin Garrix,Hold On (feat. Michel Zitron),75,0.422,0.711,2,-4.809,0,0.0385,0.0176,0.0,0.559,0.321,128.066,244453
edm,Electro House Top Tracks,Martin Garrix,Used To Love (with Dean Lewis) - SWACQ Remix,58,0.765,0.733,4,-6.302,1,0.0582,0.205,1.28e-05,0.593,0.47,125.037,220800
edm,Electro House Top Tracks,Martin Garrix,No Sleep (feat. Bonn) - DubVision Remix,69,0.584,0.79,11,-6.128,1,0.0589,0.0455,0.0,0.213,0.291,127.972,239062
edm,Electro House Top Tracks,Martin Garrix,Home (feat. Bonn),72,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067
edm,EDM 2020 House & Dance,Martin Garrix,Used To Love (with Dean Lewis),83,0.651,0.693,4,-4.722,1,0.0375,0.458,0.0,0.335,0.392,118.97,236765
edm,Electro House,Martin Garrix,Glitch,56,0.715,0.792,2,-6.4,0,0.0325,0.055,0.0236,0.269,0.357,128.024,185161
edm,Electro House,Martin Garrix,Latency,49,0.66,0.937,1,-1.098,1,0.18,0.0328,0.0683,0.497,0.449,128.112,204375
edm,New House   ‍,Martin Garrix,These Are The Times (feat. JRM),71,0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
edm,New House   ‍,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,10,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
edm,New House   ‍,Martin Garrix,Mistaken (feat. Alex Aris),68,0.424,0.694,6,-4.912,0,0.0386,0.0573,0.000937,0.133,0.0801,128.034,282481
edm,New House   ‍,Martin Garrix,Dreamer - Nicky Romero Remix,52,0.435,0.751,1,-4.999,1,0.0599,0.128,0.0,0.253,0.346,124.332,224762
edm,New House   ‍,Martin Garrix,Burn Out (feat. Dewain Whitmore),68,0.594,0.722,4,-5.751,0,0.0398,0.0156,0.0,0.0667,0.407,127.877,200322
edm,New House   ‍,Martin Garrix,High On Life (feat. Bonn),77,0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,230762
